# Battle City: original Tank Force-inspired arcade artwork.
# ROM/gameplay unchanged. Regenerate with texture_sources/battle_city_tank_force/make_pack.py.
<ver>109
<scale>4
<supportedRom>E1061C9241B06A965FB7845CB951D921ACA010EF
<img>Chr_00_0.png
<img>Chr_00_1.png
<img>Chr_00_2.png
<img>Chr_00_3.png
<img>Chr_01_0.png
<img>Chr_01_1.png
<img>Chr_01_2.png
<img>Chr_01_3.png
<img>Chr_01_4.png
<img>Chr_01_5.png
<img>flag00.png
<img>tank_force_extra.png
<condition>arena,tileAtPosition,232,136,158,0F170600
<tile>0,69,FF182738,128,224,1,N
<tile>0,6A,FF182738,160,192,1,N
<tile>0,6B,FF182738,160,224,1,N
<tile>0,6C,FF182738,192,192,1,N
<tile>0,6D,FF182738,192,224,1,N
<tile>0,6E,FF182738,224,192,1,N
<tile>0,6F,FF182738,224,224,1,N
<tile>0,70,FF182738,256,192,1,N
<tile>0,71,FF182738,256,224,1,N
<tile>0,72,FF182738,288,192,1,N
<tile>0,73,FF182738,288,224,1,N
<tile>0,74,FF182738,320,192,1,N
<tile>0,75,FF182738,320,224,1,N
<tile>0,76,FF182738,352,192,1,N
<tile>0,77,FF182738,352,224,1,N
<tile>0,78,FF182738,384,192,1,N
<tile>0,79,FF182738,384,224,1,N
<tile>0,7A,FF182738,416,192,1,N
<tile>0,7B,FF182738,416,224,1,N
<tile>0,7C,FF182738,448,192,1,N
<tile>0,7D,FF182738,448,224,1,N
<tile>0,7E,FF182738,480,192,1,N
<tile>0,7F,FF182738,480,224,1,N
<tile>0,80,FF0C1020,0,256,1,N
<tile>0,81,FF0C1020,0,288,1,N
<tile>0,82,FF0C1020,32,256,1,N
<tile>0,83,FF0C1020,32,288,1,N
<tile>0,84,FF0C1020,64,256,1,N
<tile>0,85,FF0C1020,64,288,1,N
<tile>0,86,FF0C1020,96,256,1,N
<tile>0,87,FF0C1020,96,288,1,N
<tile>0,88,FF0C1020,128,256,1,N
<tile>0,89,FF0C1020,128,288,1,N
<tile>0,8A,FF0C1020,160,256,1,N
<tile>0,8B,FF0C1020,160,288,1,N
<tile>0,8C,FF0C1020,192,256,1,N
<tile>0,8D,FF0C1020,192,288,1,N
<tile>0,8E,FF0C1020,224,256,1,N
<tile>0,8F,FF0C1020,224,288,1,N
<tile>0,90,FF0C1020,256,256,1,N
<tile>0,91,FF0C1020,256,288,1,N
<tile>0,92,FF0C1020,288,256,1,N
<tile>0,93,FF0C1020,288,288,1,N
<tile>0,94,FF0C1020,320,256,1,N
<tile>0,95,FF0C1020,320,288,1,N
<tile>0,96,FF0C1020,352,256,1,N
<tile>0,97,FF0C1020,352,288,1,N
<tile>0,98,FF0C1020,384,256,1,N
<tile>0,99,FF0C1020,384,288,1,N
<tile>0,9A,FF0C1020,416,256,1,N
<tile>0,9B,FF0C1020,416,288,1,N
<tile>0,9C,FF0C1020,448,256,1,N
<tile>0,9D,FF0C1020,448,288,1,N
<tile>0,9E,FF0C1020,480,256,1,N
<tile>0,9F,FF0C1020,480,288,1,N
<tile>0,A0,FF0C1020,0,320,1,N
<tile>0,A1,FF0C1020,0,352,1,N
<tile>0,A2,FF0C1020,32,320,1,N
<tile>0,A3,FF0C1020,32,352,1,N
<tile>0,A4,FF0C1020,64,320,1,N
<tile>0,A5,FF0C1020,64,352,1,N
<tile>0,A6,FF0C1020,96,320,1,N
<tile>0,A7,FF0C1020,96,352,1,N
<tile>0,A8,FF0C1020,128,320,1,N
<tile>0,A9,FF0C1020,128,352,1,N
<tile>0,AA,FF0C1020,160,320,1,N
<tile>0,AB,FF0C1020,160,352,1,N
<tile>0,AC,FF0C1020,192,320,1,N
<tile>0,AD,FF0C1020,192,352,1,N
<tile>0,AE,FF0C1020,224,320,1,N
<tile>0,AF,FF0C1020,224,352,1,N
<tile>0,B0,FF0C1020,256,320,1,N
<tile>0,B1,FF0C1020,256,352,1,N
<tile>0,B2,FF0C1020,288,320,1,N
<tile>0,B3,FF0C1020,288,352,1,N
<tile>0,B4,FF0C1020,320,320,1,N
<tile>0,B5,FF0C1020,320,352,1,N
<tile>0,B6,FF0C1020,352,320,1,N
<tile>0,B7,FF0C1020,352,352,1,N
<tile>0,B8,FF0C1020,384,320,1,N
<tile>0,B9,FF0C1020,384,352,1,N
<tile>0,BA,FF0C1020,416,320,1,N
<tile>0,BB,FF0C1020,416,352,1,N
<tile>0,BC,FF0C1020,448,320,1,N
<tile>0,BD,FF0C1020,448,352,1,N
<tile>0,BE,FF0C1020,480,320,1,N
<tile>0,BF,FF0C1020,480,352,1,N
<tile>0,C0,FF0C1020,0,384,1,N
<tile>0,C1,FF0C1020,0,416,1,N
<tile>0,C2,FF0C1020,32,384,1,N
<tile>0,C3,FF0C1020,32,416,1,N
<tile>0,C4,FF0C1020,64,384,1,N
<tile>0,C5,FF0C1020,64,416,1,N
<tile>0,C6,FF0C1020,96,384,1,N
<tile>0,C7,FF0C1020,96,416,1,N
<tile>0,C8,FF0C1020,128,384,1,N
<tile>0,C9,FF0C1020,128,416,1,N
<tile>0,CA,FF0C1020,160,384,1,N
<tile>0,CB,FF0C1020,160,416,1,N
<tile>0,CC,FF0C1020,192,384,1,N
<tile>0,CD,FF0C1020,192,416,1,N
<tile>0,CE,FF0C1020,224,384,1,N
<tile>0,CF,FF0C1020,224,416,1,N
<tile>0,D0,FF0C1020,256,384,1,N
<tile>0,D1,FF0C1020,256,416,1,N
<tile>0,D2,FF0C1020,288,384,1,N
<tile>0,D3,FF0C1020,288,416,1,N
<tile>0,D4,FF0C1020,320,384,1,N
<tile>0,D5,FF0C1020,320,416,1,N
<tile>0,D6,FF0C1020,352,384,1,N
<tile>0,D7,FF0C1020,352,416,1,N
<tile>0,D8,FF0C1020,384,384,1,N
<tile>0,D9,FF0C1020,384,416,1,N
<tile>0,DA,FF0C1020,416,384,1,N
<tile>0,DB,FF0C1020,416,416,1,N
<tile>0,DC,FF0C1020,448,384,1,N
<tile>0,DD,FF0C1020,448,416,1,N
<tile>0,DE,FF0C1020,480,384,1,N
<tile>0,DF,FF0C1020,480,416,1,N
<tile>0,E0,FF0C1020,0,448,1,N
<tile>0,E1,FF0C1020,0,480,1,N
<tile>0,E2,FF0C1020,32,448,1,N
<tile>0,E3,FF0C1020,32,480,1,N
<tile>0,E4,FF0C1020,64,448,1,N
<tile>0,E5,FF0C1020,64,480,1,N
<tile>0,E6,FF0C1020,96,448,1,N
<tile>0,E7,FF0C1020,96,480,1,N
<tile>0,E8,FF0C1020,128,448,1,N
<tile>0,E9,FF0C1020,128,480,1,N
<tile>0,EA,FF0C1020,160,448,1,N
<tile>0,EB,FF0C1020,160,480,1,N
<tile>0,EC,FF0C1020,192,448,1,N
<tile>0,ED,FF0C1020,192,480,1,N
<tile>0,EE,FF0C1020,224,448,1,N
<tile>0,EF,FF0C1020,224,480,1,N
<tile>0,F0,FF0C1020,256,448,1,N
<tile>0,F1,FF0C1020,256,480,1,N
<tile>0,F2,FF0C1020,288,448,1,N
<tile>0,F3,FF0C1020,288,480,1,N
<tile>0,F4,FF0C1020,320,448,1,N
<tile>0,F5,FF0C1020,320,480,1,N
<tile>0,F6,FF0C1020,352,448,1,N
<tile>0,F7,FF0C1020,352,480,1,N
<tile>0,F8,FF0C1020,384,448,1,N
<tile>0,F9,FF0C1020,384,480,1,N
<tile>0,FA,FF0C1020,416,448,1,N
<tile>0,FB,FF0C1020,416,480,1,N
<tile>0,FC,FF0C1020,448,448,1,N
<tile>0,FD,FF0C1020,448,480,1,N
<tile>0,FE,FF0C1020,480,448,1,N
<tile>0,FF,FF0C1020,480,480,1,N
<tile>1,0,FF0A1B3B,0,0,1,N
<tile>1,1,FF0A1B3B,0,32,1,N
<tile>1,2,FF0A1B3B,32,0,1,N
<tile>1,3,FF0A1B3B,32,32,1,N
<tile>1,4,FF0A1B3B,64,0,1,N
<tile>1,5,FF0A1B3B,64,32,1,N
<tile>1,6,FF0A1B3B,96,0,1,N
<tile>1,7,FF0A1B3B,96,32,1,N
<tile>1,8,FF182738,128,0,1,N
<tile>1,9,FF182738,128,32,1,N
<tile>1,A,FF182738,160,0,1,N
<tile>1,B,FF182738,160,32,1,N
<tile>1,C,FF182738,192,0,1,N
<tile>1,D,FF182738,192,32,1,N
<tile>1,E,FF182738,224,0,1,N
<tile>1,F,FF182738,224,32,1,N
<tile>1,10,FF182738,256,0,1,N
<tile>1,11,FF182738,256,32,1,N
<tile>1,12,FF182738,288,0,1,N
<tile>1,13,FF182738,288,32,1,N
<tile>1,14,FF182738,320,0,1,N
<tile>1,15,FF182738,320,32,1,N
<tile>1,16,FF182738,352,0,1,N
<tile>1,17,FF182738,352,32,1,N
<tile>1,18,FF0A1B3B,384,0,1,N
<tile>1,19,FF0A1B3B,384,32,1,N
<tile>1,1A,FF0A1B3B,416,0,1,N
<tile>1,1B,FF0A1B3B,416,32,1,N
<tile>1,1C,FF0A1B3B,448,0,1,N
<tile>1,1D,FF0A1B3B,448,32,1,N
<tile>1,1E,FF0A1B3B,480,0,1,N
<tile>1,1F,FF0A1B3B,480,32,1,N
<tile>1,20,FF0A1B3B,0,64,1,N
<tile>1,21,FF0A1B3B,0,96,1,N
<tile>1,22,FF0A1B3B,32,64,1,N
<tile>1,23,FF0A1B3B,32,96,1,N
<tile>1,24,FF0A1B3B,64,64,1,N
<tile>1,25,FF0A1B3B,64,96,1,N
<tile>1,26,FF0A1B3B,96,64,1,N
<tile>1,27,FF0A1B3B,96,96,1,N
<tile>1,28,FF0A1B3B,128,64,1,N
<tile>1,29,FF0A1B3B,128,96,1,N
<tile>1,2A,FF0A1B3B,160,64,1,N
<tile>1,2B,FF0A1B3B,160,96,1,N
<tile>1,2C,FF0A1B3B,192,64,1,N
<tile>1,2D,FF0A1B3B,192,96,1,N
<tile>1,2E,FF0A1B3B,224,64,1,N
<tile>1,2F,FF0A1B3B,224,96,1,N
<tile>1,30,FF0A1B3B,256,64,1,N
<tile>1,31,FF0A1B3B,256,96,1,N
<tile>1,32,FF0A1B3B,288,64,1,N
<tile>1,33,FF0A1B3B,288,96,1,N
<tile>1,34,FF0A1B3B,320,64,1,N
<tile>1,35,FF0A1B3B,320,96,1,N
<tile>1,36,FF0A1B3B,352,64,1,N
<tile>1,37,FF0A1B3B,352,96,1,N
<tile>1,38,FF0A1B3B,384,64,1,N
<tile>1,39,FF0A1B3B,384,96,1,N
<tile>1,3A,FF0A1B3B,416,64,1,N
<tile>1,3B,FF0A1B3B,416,96,1,N
<tile>1,3C,FF0A1B3B,448,64,1,N
<tile>1,3D,FF0A1B3B,448,96,1,N
<tile>1,3E,FF0A1B3B,480,64,1,N
<tile>1,3F,FF0A1B3B,480,96,1,N
<tile>1,40,FF182738,0,128,1,N
<tile>1,41,FF182738,0,160,1,N
<tile>1,42,FF182738,32,128,1,N
<tile>1,43,FF182738,32,160,1,N
<tile>1,44,FF182738,64,128,1,N
<tile>1,45,FF182738,64,160,1,N
<tile>1,46,FF182738,96,128,1,N
<tile>1,47,FF182738,96,160,1,N
<tile>1,48,FF182738,128,128,1,N
<tile>1,49,FF182738,128,160,1,N
<tile>1,4A,FF182738,160,128,1,N
<tile>1,4B,FF182738,160,160,1,N
<tile>1,4C,FF182738,192,128,1,N
<tile>1,4D,FF182738,192,160,1,N
<tile>1,4E,FF182738,224,128,1,N
<tile>1,4F,FF182738,224,160,1,N
<tile>1,50,FF182738,256,128,1,N
<tile>1,51,FF182738,256,160,1,N
<tile>1,52,FF182738,288,128,1,N
<tile>1,53,FF182738,288,160,1,N
<tile>1,54,FF182738,320,128,1,N
<tile>1,55,FF182738,320,160,1,N
<tile>1,56,FF182738,352,128,1,N
<tile>1,57,FF182738,352,160,1,N
<tile>1,58,FF182738,384,128,1,N
<tile>1,59,FF182738,384,160,1,N
<tile>1,5A,FF182738,416,128,1,N
<tile>1,5B,FF182738,416,160,1,N
<tile>1,5C,FF182738,448,128,1,N
<tile>1,5D,FF182738,448,160,1,N
<tile>1,5E,FF182738,480,128,1,N
<tile>1,5F,FF182738,480,160,1,N
<tile>1,60,FF0A1B3B,0,192,1,N
<tile>1,61,FF0A1B3B,0,224,1,N
<tile>1,62,FF0A1B3B,32,192,1,N
<tile>1,63,FF0A1B3B,32,224,1,N
<tile>1,64,FF0A1B3B,64,192,1,N
<tile>1,65,FF0A1B3B,64,224,1,N
<tile>1,66,FF0A1B3B,96,192,1,N
<tile>1,67,FF0A1B3B,96,224,1,N
<tile>1,68,FF0A1B3B,128,192,1,N
<tile>1,69,FF0A1B3B,128,224,1,N
<tile>1,6A,FF0A1B3B,160,192,1,N
<tile>1,6B,FF0A1B3B,160,224,1,N
<tile>1,6C,FF0A1B3B,192,192,1,N
<tile>1,6D,FF0A1B3B,192,224,1,N
<tile>1,6E,FF0A1B3B,224,192,1,N
<tile>1,6F,FF0A1B3B,224,224,1,N
<tile>1,70,FF0A1B3B,256,192,1,N
<tile>1,71,FF0A1B3B,256,224,1,N
<tile>1,72,FF0A1B3B,288,192,1,N
<tile>1,73,FF0A1B3B,288,224,1,N
<tile>1,74,FF0A1B3B,320,192,1,N
<tile>1,75,FF0A1B3B,320,224,1,N
<tile>1,76,FF0A1B3B,352,192,1,N
<tile>1,77,FF0A1B3B,352,224,1,N
<tile>1,78,FF0A1B3B,384,192,1,N
<tile>1,79,FF0A1B3B,384,224,1,N
<tile>1,7A,FF0A1B3B,416,192,1,N
<tile>1,7B,FF0A1B3B,416,224,1,N
<tile>1,7C,FF0A1B3B,448,192,1,N
<tile>1,7D,FF0A1B3B,448,224,1,N
<tile>1,7E,FF0A1B3B,480,192,1,N
<tile>1,7F,FF0A1B3B,480,224,1,N
<tile>1,80,FF041620,0,256,1,N
<tile>1,81,FF041620,0,288,1,N
<tile>1,82,FF041620,32,256,1,N
<tile>1,83,FF041620,32,288,1,N
<tile>1,84,FF041620,64,256,1,N
<tile>1,85,FF041620,64,288,1,N
<tile>1,86,FF041620,96,256,1,N
<tile>1,87,FF041620,96,288,1,N
<tile>1,88,FF041620,128,256,1,N
<tile>1,89,FF041620,128,288,1,N
<tile>1,8A,FF041620,160,256,1,N
<tile>1,8B,FF041620,160,288,1,N
<tile>1,8C,FF041620,192,256,1,N
<tile>1,8D,FF041620,192,288,1,N
<tile>1,8E,FF041620,224,256,1,N
<tile>1,8F,FF041620,224,288,1,N
<tile>1,90,FF041620,256,256,1,N
<tile>1,91,FF041620,256,288,1,N
<tile>1,92,FF041620,288,256,1,N
<tile>1,93,FF041620,288,288,1,N
<tile>1,94,FF041620,320,256,1,N
<tile>1,95,FF041620,320,288,1,N
<tile>1,96,FF041620,352,256,1,N
<tile>1,97,FF041620,352,288,1,N
<tile>1,98,FF041620,384,256,1,N
<tile>1,99,FF041620,384,288,1,N
<tile>1,9A,FF041620,416,256,1,N
<tile>1,9B,FF041620,416,288,1,N
<tile>1,9C,FF041620,448,256,1,N
<tile>1,9D,FF041620,448,288,1,N
<tile>1,9E,FF041620,480,256,1,N
<tile>1,9F,FF041620,480,288,1,N
<tile>1,A0,FF041620,0,320,1,N
<tile>1,A1,FF041620,0,352,1,N
<tile>1,A2,FF041620,32,320,1,N
<tile>1,A3,FF041620,32,352,1,N
<tile>1,A4,FF041620,64,320,1,N
<tile>1,A5,FF041620,64,352,1,N
<tile>1,A6,FF041620,96,320,1,N
<tile>1,A7,FF041620,96,352,1,N
<tile>1,A8,FF041620,128,320,1,N
<tile>1,A9,FF041620,128,352,1,N
<tile>1,AA,FF041620,160,320,1,N
<tile>1,AB,FF041620,160,352,1,N
<tile>1,AC,FF041620,192,320,1,N
<tile>1,AD,FF041620,192,352,1,N
<tile>1,AE,FF041620,224,320,1,N
<tile>1,AF,FF041620,224,352,1,N
<tile>1,B0,FF041620,256,320,1,N
<tile>1,B1,FF041620,256,352,1,N
<tile>1,B2,FF041620,288,320,1,N
<tile>1,B3,FF041620,288,352,1,N
<tile>1,B4,FF041620,320,320,1,N
<tile>1,B5,FF041620,320,352,1,N
<tile>1,B6,FF041620,352,320,1,N
<tile>1,B7,FF041620,352,352,1,N
<tile>1,B8,FF041620,384,320,1,N
<tile>1,B9,FF041620,384,352,1,N
<tile>1,BA,FF041620,416,320,1,N
<tile>1,BB,FF041620,416,352,1,N
<tile>1,BC,FF041620,448,320,1,N
<tile>1,BD,FF041620,448,352,1,N
<tile>1,BE,FF041620,480,320,1,N
<tile>1,BF,FF041620,480,352,1,N
<tile>1,C0,FF041620,0,384,1,N
<tile>1,C1,FF041620,0,416,1,N
<tile>1,C2,FF041620,32,384,1,N
<tile>1,C3,FF041620,32,416,1,N
<tile>1,C4,FF041620,64,384,1,N
<tile>1,C5,FF041620,64,416,1,N
<tile>1,C6,FF041620,96,384,1,N
<tile>1,C7,FF041620,96,416,1,N
<tile>1,C8,FF041620,128,384,1,N
<tile>1,C9,FF041620,128,416,1,N
<tile>1,CA,FF041620,160,384,1,N
<tile>1,CB,FF041620,160,416,1,N
<tile>1,CC,FF041620,192,384,1,N
<tile>1,CD,FF041620,192,416,1,N
<tile>1,CE,FF041620,224,384,1,N
<tile>1,CF,FF041620,224,416,1,N
<tile>1,D0,FF041620,256,384,1,N
<tile>1,D1,FF041620,256,416,1,N
<tile>1,D2,FF041620,288,384,1,N
<tile>1,D3,FF041620,288,416,1,N
<tile>1,D4,FF041620,320,384,1,N
<tile>1,D5,FF041620,320,416,1,N
<tile>1,D6,FF041620,352,384,1,N
<tile>1,D7,FF041620,352,416,1,N
<tile>1,D8,FF041620,384,384,1,N
<tile>1,D9,FF041620,384,416,1,N
<tile>1,DA,FF041620,416,384,1,N
<tile>1,DB,FF041620,416,416,1,N
<tile>1,DC,FF041620,448,384,1,N
<tile>1,DD,FF041620,448,416,1,N
<tile>1,DE,FF041620,480,384,1,N
<tile>1,DF,FF041620,480,416,1,N
<tile>1,E0,FF0A1B3B,0,448,1,N
<tile>1,E1,FF0A1B3B,0,480,1,N
<tile>1,E2,FF0A1B3B,32,448,1,N
<tile>1,E3,FF0A1B3B,32,480,1,N
<tile>1,E4,FF0A1B3B,64,448,1,N
<tile>1,E5,FF0A1B3B,64,480,1,N
<tile>1,E6,FF0A1B3B,96,448,1,N
<tile>1,E7,FF0A1B3B,96,480,1,N
<tile>1,E8,FF0A1B3B,128,448,1,N
<tile>1,E9,FF0A1B3B,128,480,1,N
<tile>1,EA,FF0A1B3B,160,448,1,N
<tile>1,EB,FF0A1B3B,160,480,1,N
<tile>1,EC,FF0A1B3B,192,448,1,N
<tile>1,ED,FF0A1B3B,192,480,1,N
<tile>1,EE,FF0A1B3B,224,448,1,N
<tile>1,EF,FF0A1B3B,224,480,1,N
<tile>1,F0,FF0A1B3B,256,448,1,N
<tile>1,F1,FF0A1B3B,256,480,1,N
<tile>1,F2,FF0A1B3B,288,448,1,N
<tile>1,F3,FF0A1B3B,288,480,1,N
<tile>1,F4,FF0A1B3B,320,448,1,N
<tile>1,F5,FF0A1B3B,320,480,1,N
<tile>1,F6,FF0A1B3B,352,448,1,N
<tile>1,F7,FF0A1B3B,352,480,1,N
<tile>1,F8,FF0A1B3B,384,448,1,N
<tile>1,F9,FF0A1B3B,384,480,1,N
<tile>1,FA,FF0A1B3B,416,448,1,N
<tile>1,FB,FF0A1B3B,416,480,1,N
<tile>1,FC,FF0A1B3B,448,448,1,N
<tile>1,FD,FF0A1B3B,448,480,1,N
<tile>1,FE,FF0A1B3B,480,448,1,N
<tile>1,FF,FF0A1B3B,480,480,1,N
<tile>2,E0,FF182738,0,448,1,N
<tile>2,E1,FF182738,0,480,1,N
<tile>2,E2,FF182738,32,448,1,N
<tile>2,E3,FF182738,32,480,1,N
<tile>2,E4,FF182738,64,448,1,N
<tile>2,E5,FF182738,64,480,1,N
<tile>2,E6,FF182738,96,448,1,N
<tile>2,E7,FF182738,96,480,1,N
<tile>2,E8,FF182738,128,448,1,N
<tile>2,E9,FF182738,128,480,1,N
<tile>2,EA,FF182738,160,448,1,N
<tile>2,EB,FF182738,160,480,1,N
<tile>2,EC,FF182738,192,448,1,N
<tile>2,ED,FF182738,192,480,1,N
<tile>2,EE,FF182738,224,448,1,N
<tile>2,EF,FF182738,224,480,1,N
<tile>2,F0,FF182738,256,448,1,N
<tile>2,F1,FF182738,256,480,1,N
<tile>2,F2,FF182738,288,448,1,N
<tile>2,F3,FF182738,288,480,1,N
<tile>2,F4,FF182738,320,448,1,N
<tile>2,F5,FF182738,320,480,1,N
<tile>2,F6,FF182738,352,448,1,N
<tile>2,F7,FF182738,352,480,1,N
<tile>2,F8,FF182738,384,448,1,N
<tile>2,F9,FF182738,384,480,1,N
<tile>2,FA,FF182738,416,448,1,N
<tile>2,FB,FF182738,416,480,1,N
<tile>2,FC,FF182738,448,448,1,N
<tile>2,FD,FF182738,448,480,1,N
<tile>2,FE,FF182738,480,448,1,N
<tile>2,FF,FF182738,480,480,1,N
<tile>3,E0,FF041620,0,448,1,N
<tile>3,E1,FF041620,0,480,1,N
<tile>3,E2,FF041620,32,448,1,N
<tile>3,E3,FF041620,32,480,1,N
<tile>3,E4,FF041620,64,448,1,N
<tile>3,E5,FF041620,64,480,1,N
